Research_paper,Question,Models,answer_relevancy,faithfulness,answer_correctness
1,1,gpt-4.1-nano,,,
1,1,gpt-4.1-mini,,,
1,1,gpt-4.1,,,
2,1,gpt-4.1-nano,0.9270487384418072,1.0,0.3993194129513631
2,1,gpt-4.1-mini,0.9622751500767228,1.0,0.40863585441070116
2,1,gpt-4.1,0.924829105332227,1.0,0.5568136653213273
2,2,gpt-4.1-nano,0.9765133998143918,1.0,0.5123259751634407
2,2,gpt-4.1-mini,0.975541439800986,1.0,0.22027417840424118
2,2,gpt-4.1,0.9926818201207948,1.0,0.2202838915850362
2,3,gpt-4.1-nano,0.8935269734225981,0.9565217391304348,0.8744876119663958
2,3,gpt-4.1-mini,0.9769689659015373,1.0,0.3594685640878199
2,3,gpt-4.1,0.9037407309415534,1.0,0.3688250131256551
