Research_paper,Question,k value,answer_relevancy,faithfulness,answer_correctness
1,1,4,,,
1,1,5,,,
1,1,6,,,
1,1,7,,,
1,1,8,,,
2,1,4,0.9454262633388495,0.9259259259259259,0.4578675741019154
2,1,5,0.9482698720019888,0.9705882352941176,0.3682214862939016
2,1,6,0.961656193750262,1.0,0.4940143594407615
2,1,7,0.9622934241992652,1.0,0.3988081755427912
2,1,8,0.961656193750262,1.0,0.4347130733221386
2,2,4,0.975541439800986,1.0,0.21926449475792933
2,2,5,0.9755155013765574,1.0,0.22057591956221104
2,2,6,0.975541439800986,1.0,0.22140916776842812
2,2,7,0.9755193676269309,1.0,0.21943793315050347
2,2,8,0.975541439800986,1.0,0.2198240236877354
2,3,4,0.9421343580733736,1.0,0.4588162834954733
2,3,5,0.9315277596776492,1.0,0.3696858431474152
2,3,6,0.8917334672201251,1.0,0.30418989151567694
2,3,7,0.949198874957895,1.0,0.33518018018527007
2,3,8,0.9789225269091757,1.0,0.2667942056863226
