Research_paper,Question,Models,answer_relevancy,faithfulness,answer_correctness
1,1,gpt-4.1-nano,,,
1,1,gpt-4.1-mini,,,
1,1,gpt-4.1,,,
2,1,gpt-4.1-nano,0.914175818137812,1.0,0.9563358235772675
2,1,gpt-4.1-mini,0.9634385122991854,1.0,0.3473989741893163
2,1,gpt-4.1,0.9637816668370179,1.0,0.4454614385398217
2,2,gpt-4.1-nano,0.9216444283183416,1.0,0.9817853966723961
2,2,gpt-4.1-mini,0.9492383712612255,0.6956521739130435,0.44069498579812794
2,2,gpt-4.1,0.9442238987069158,0.7857142857142857,0.3720874697735421
2,3,gpt-4.1-nano,0.9496474756133687,1.0,0.4944206589160752
2,3,gpt-4.1-mini,0.9840530184179843,1.0,0.43805921595098
2,3,gpt-4.1,0.947308499527767,1.0,0.5040347315332898
